,Address,Bld_link,Companies,Completed,Current use,Demolished,Heritage,Image,Name,Notes,Style,Type
0,106 Bedford Road The Annex Toronto,show_building.php?BuildingID=4292,,1902,Residential,,East Annex Heritage Conservation District,/tobuilt_bk/php/Buildingimages/106BedfordRd.jpg,106 Bedford Road,,Annex%20Style,Detached house
1,90 Madison Avene The Annex Toronto,show_building.php?BuildingID=10403,,1906,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/691993c2.jpg,90 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The 2.5 storey detached building, with appearance of a side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration.  Features representative of the Annex style include red brick, rustic stone sills and lintels, Queen Anne faceted dormer, recessed entry, masonry porch, and sleeping balcony. Large non-contributing addition to the south was added during the period of HCD study.",Annex%20Style,
2,12 Madison Avenue The Annex Toronto,show_building.php?BuildingID=5651,,1892,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/12Madison1.jpg,Ecology House,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building, with appearance of a sidehall or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick with basketweave panels, rusticated stone foundations and ashlar sills, terra cotta shingling and details, front facing Queen Anne gable, recessed entry, and semi circular arches.",Annex%20Style,Detached house
3,14 Madison Avenue The Annex Toronto,show_building.php?BuildingID=5326,,1893,Restaurant,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/14Madison.jpg,14 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building, with appearance of a sidehall or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick with basketweave panels, rusticated stone foundations and ashlar sills, terra cotta shingling and details, front facing Queen Anne gable, recessed entry, and semi circular arches.",Annex%20Style,Detached house
4,16 Madison Avenue The Annex Toronto,show_building.php?BuildingID=5327,,1893,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/16-18Madison.jpg,16 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey asymmetric semi-detached building, with appearance of a centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills,terra cotta shingling , front facing gable, recessed entry, and semi circular arches. Former sleeping porch has been filled in.",Annex%20Style,Semi-detached house
5,17 Madison Avenue The Annex Toronto,show_building.php?BuildingID=3989,,1892,Cultural centre,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/17-19MadisonAv.jpg,17 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey asymmetric semi-detached building, with appearance of side hall or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include complex patterned red brick, rusticated stone foundations and sills, terra cotta shingling, front facing gable, carved sandstone, basketweave terra cotta, recessed entry, and semi circular arches.",Annex%20Style,Semi-detached house
6,18 Madison Avenue The Annex Toronto,show_building.php?BuildingID=10469,,1983,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/c0f0477a.jpg,18 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, with a turret corbelled from the front elevation.The 2.5 storey asymmetric semi-detached building, with appearance of a side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills, terra cotta shingling and insets, carved sandstone keystone, front facing gable, recessed entry, and semi circular arches.",Annex%20Style,Semi-detached house
7,19 Madison Avenue The Annex Toronto,show_building.php?BuildingID=10527,,1892,Movie studio,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/2e33554c.jpg,19 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The 3 storey asymmetric semi-detached building, with appearance of side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills, basketweave terra cotta, egg and dart terra cotta, carved sandstone, recessed entry, and semi circular arches.",Annex%20Style,Semi-detached house
8,20 Madison Avenue The Annex Toronto,show_building.php?BuildingID=5328,,1893,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/20Madison.jpg,20 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a front facing gable. The 2.5 storey detached building, with appearance of a sidehall or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include red brick, rusticated stone foundations and sills, front facing gable, decorative woodwork, terra cotta insets and carved sandstone keystone, recessed entry, and semi circular arches.",Annex%20Style,Detached house
9,21  Madison Avenue The Annex Toronto,show_building.php?BuildingID=3990,,1892,Residential,,"West Annex Phase I, Madison Avenue, Heritage Conservation District",/tobuilt_bk/php/Buildingimages/21-23MadisonAv.jpg,21 Madison Avenue,"This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours, and a small front facing gable. The 2.5 storey asymmetric semi-detached building, with appearance of side or centre hall rotated plan, was constructed during the period of significance between 1885 and 1925 in the Annex Style and retains sufficient integrity to permit restoration. Features representative of the Annex style include complex patterned red brick, rusticated stone foundations and sills, ashlar lintels, sandstone trim, terra cotta insets, recessed entry, and semi circular arches.",Annex%20Style,Semi-detached house
