,Address,Bld_link,Companies,Completed,Current use,Demolished,Heritage,Image,Name,Notes,Style,Type
0,20 Chestnut Park Rosedale Toronto,show_building.php?BuildingID=4386,['Alfred E. Boultbee'],1905,Residential,,South Rosedale Heritage Conservation District,/tobuilt_bk/php/Buildingimages/20ChestnutPark.jpg,Robert Grieg House,"First Occupant: Greig, Robert

First OccupantÂ´s Occupation: Pres The Robert Greig Co. Ltd.",American colonial,Detached house
1,22 Chestnut Park Rosedale Toronto,show_building.php?BuildingID=4388,['Alfred E. Boultbee'],1905,Residential,,South Rosedale Heritage Conservation District,/tobuilt_bk/php/Buildingimages/22ChestnutPark.jpg,22 Chestnut Park,"First Occupant: Falconbridge, John D.

First OccupantÂ´s Occupation: Lawyer (Cassels, Brock, Kelly)",American colonial,Detached house
2,154-156 Amelia Street Cabbagetown Toronto,show_building.php?BuildingID=3883,,unknown,Residential,,Cabbagetown North Heritage Conservation District,/tobuilt_bk/php/Buildingimages/154-156Amelia.jpg,154-156 Amelia Street,,Arts and Crafts,Semi-detached house
3,450 Blythwood Road Lawrence Park Toronto,show_building.php?BuildingID=11142,,1953,Educational,,,/tobuilt_bk/php/Buildingimages/1f5e28c0.jpg,Sunny View Public School,,Arts and Crafts,School
4,450 Broadview Avenue Riverdale Toronto,show_building.php?BuildingID=3458,['Robert McCallum'],1906,Clubhouse,,Heritage property,/tobuilt_bk/php/Buildingimages/StMatthewsLawnBowling.jpg,St. Matthew's Lawn Bowling Club,"Formerly at 548 Gerrard Street East This building was relocated to the eastern edge of Riverdale Park, at the top of the slope.",Arts and Crafts,Low-rise
5,43 Castle Frank Crescent Rosedale Toronto,show_building.php?BuildingID=8092,,1911,Residential,,South Rosedale Heritage Conservation District,/tobuilt_bk/php/Buildingimages/43CastleFrankCr.jpg,43 Castle Frank Crescent,,Arts and Crafts,Detached house
6,584 Church Street Church-Wellesley Toronto,show_building.php?BuildingID=10625,['P. H. Finney'],1909,Commercial,,Designated under Part IV Ontario Heritage Act,/tobuilt_bk/php/Buildingimages/e7d45bdf.jpg,Catherine Collard House,"Supports the character of the collection of 19th/20th century residential buildings in this section of church street. Constructed on the former Dundonald Estate.
In 2011, a condo was almost built in place of Catherine Collard House and its neighbours - but the property owner thankfully withdrew the plans at the last minute.",Arts and Crafts,Detached house
7,43 Cross Street Weston York,show_building.php?BuildingID=8501,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/43CrossSt.jpg,43 Cross Street,,Arts and Crafts,Detached house
8,181 Ellis Avenue Swansea Toronto,show_building.php?BuildingID=7007,['John Gemmell'],1889,Residential,,Heritage property,/tobuilt_bk/php/Buildingimages/AlexGemmellHouse.jpg,Alexander Gemmell House,,Arts and Crafts,Detached house
9,75 Elmer Avenue The Beach Toronto,show_building.php?BuildingID=9818,,1913,Residential,,Heritage property,/tobuilt_bk/php/Buildingimages/75ElmerAve.jpg,Herbert W. Waters House,"Herbert H. Waters developed the surrounding area in the Beach, and built this house in the ""Bungalow Style"" (with Arts & Crafts details) in the early 20th Century. He occupied the site until 1970.The Reason for Listing provides only an approximate date for the completion of this building.",Arts and Crafts,Detached house
10,6 Fern Avenue Weston York,show_building.php?BuildingID=8512,,unknown,Residential,,Weston Heritage Conservation District,/tobuilt_bk/php/Buildingimages/6FernAve.jpg,6 Fern Avenue,,Arts and Crafts,Detached house
11,7-11 Gifford Street Cabbagetown Toronto,show_building.php?BuildingID=4895,,unknown,Residential,,Cabbagetown South Heritage Conservation District,/tobuilt_bk/php/Buildingimages/7-11Gifford.jpg,7-11 Gifford Street,,Arts and Crafts,Semi-detached house
