,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
0,0 Laughton Avenue,,1929,c2000,Jane Parker Bakery,"Will be demolished to make way for Jane Parker Square, a development of 78 demi-detached houses.",Bakeries
1,63 Walker Avenue,,,,Hunt's Bakery,"HUnt's Bakery operated here from 1928-1979.  Site now occupied by a development of homes and townhouses named ""The Bakery""",Bakeries
2,165 Avenue Road,Lyle John,1930,,,,Banks
3,420 Bloor Street East,Lyle John,1911,,Toronto Dominion Bank,,Banks
4,539 Bloor Street West,Horsburgh V.C.,1914,,Canadian Bank of Commerce,Now houses Pauper's Pub.,Banks
5,1129 Bloor Street West,Taylor Hazell Architects (firm),,,Canadian Bank of Commerce,,Banks
6,363 Broadview Avenue,Lyle John,1911,,Bank of Nova Scotia,,Banks
7,205 Carlton Street,Darling & Pearson (firm),1905,,Canadian Bank of Commerce,,Banks
8,440 College Street,"Darling & Pearson (firm)
Sankey Javosky Werleman Guy (firm)
Sankey Partnership (firm)",1913,,Bank of Nova Scotia,,Banks
9,928 College Street,Lyle John,1922,,Bank of Toronto,,Banks
10,0 Danforth Avenue,Horsburgh V.C.,,,Canadian Bank of Commerce,,Banks
11,646 Danforth Avenue,Bond & Smith (firm),1925,,Royal Bank,,Banks
12,1225 Davenport Road,,,,Toronto Dominion Bank,Used to be known as the Dominion Bank.,Banks
13,1616 Dundas Street West,,,,Bank of Nova Scotia,,Banks
14,36 Front Street East,Smith & Gemmell (firm),1871-1872,1964-1965,Royal Canadian Bank,,Banks
15,325 Front Street West,Webb Zerafa Menkes Housden (firm),,,Royal Bank Data Centre,,Banks
16,2 King Street East,"Bird Eustace
Carrere & Hastings (firm)
Ross & Macdonald (firm)",1913-15,,Royal Bank,,Banks
17,8 King Street East,"Bird Eustace
Carrere & Hastings (firm)",1907,1968,Royal Bank,,Banks
18,37 King Street East,Clarke Darling Architect (firm),,,Bank of Nova Scotia,,Banks
19,50 King Street East,"Craig & Sparling (firm)
Dick David",1886,,Quebec Bank,,Banks
20,144 King Street East,,1903,,Canadian Imperial Bank of Commerce,,Banks
21,161 King Street East,,1885,,Toronto Dominion Bank,Initially the Dominion Bank of Canada.,Banks
22,172 King Street East,Gouinlock George,1907,,Sovereign Bank Building,SEE ALSO: Sankey Partnership (same address) and King George Square (63 Jarvis Street),Banks
23,226 King Street East,,1909,,Canadian Imperial Bank of Commerce,SEE ALSO:  Kings Court at no.230 King Street East.,Banks
24,0 King Street West,"Darling & Pearson (firm)
Waite Richard",1889-1890,1928,Canadian Bank of Commerce,SEE ALSO:  Canadian Imperial Bank of Commerce.,Banks
25,1 King Street West,Darling & Pearson (firm),1913-1914,,Toronto Dominion Bank,Originally the Dominion Bank of Canada.  Proposed site of the 500-seat Ed and Anne Mirvish Theatre as well as a Condominium tower.,Banks
26,1 King Street West,Darling & Pearson (firm),,,Dominion Bank of Canada,SEE: under building name of Toronto Dominion Bank (same address).,Banks
27,25 King Street West,"Darling & Pearson (firm)
York & Sawyer (firm)",1931,,Canadian Imperial Bank of Commerce,"Canadian Imperial Bank of Commerce.  Originally known as the Canadian Bank of Commerce.   SEE ALSO:  Commerce Court, 243 Bay Street.",Banks
28,39 King Street West,Darling & Pearson (firm),1902,1969,Bank of Nova Scotia,Occupied nos. 39-41 King Street West.   Demolished in 1969 to make way for Commerce Court.,Banks
29,50 King Street West,"Chapman Oxley & Facey (firm)
Marani & Morris (firm)
Wyle Florence",1948,1975,Bank of Montreal,,Banks
30,51 King Street West,"Darling & Pearson (firm)
Sproatt & Rolph (firm)",c1911,,Union Bank,Occupied street nos.51-53 King Street West.  Terra cotta facade was replaced with limestone when Sproat & Rolph expanded the building c1934.  Building was known as the Imperial Bank of Canada when it was demolished c.mid 1960s in order to make way for I.M. Pei's Commerce Court tower.,Banks
