,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
0,0 Airport Road,"Bregman + Hamann Architects
Scott Associates Architects Inc.",1991,,Terminal 3,"Terminal 3, also known as the Trillium Terminal, sits to the west of Terminal 1 (1964) and Terminal 2 (1972) at the Lester B. Pearson International Airport.  It is owned and operated by the private sector.",Airport Terminals
1,0 Airport Road,Webb Zerafa Menkes Housden (firm),,,Lester B. Pearson Airport,"SEE ALSO: Terminal 1, Terminal 2 and Termincal 3 on Airport Road.",Airport Terminals
2,0 Airport Road,Parkin Partnership (firm),1972,,Terminal 2,"Will be replaced c2003 with a new, unified terminal.",Airport Terminals
3,0 Airport Road,Parkin John B.,1964,,Terminal 1,"Along with Terminal 2, will be replaced by new unified Terminal, scheduled to open in 2003.",Airport Terminals
4,0 Airport Road,"Adamson Associates (firm)
Safdie Moshe
Skidmore Owings & Merrill (firm)
Webb Zerafa Menkes Housden (firm)",,,,New building to replace John C. Parkin's 1960's terminal.  Projected to be a 10-year project.,Airport Terminals
5,0 Exhibition Place,"Burke Edmund
Chapman & Oxley (firm)",,,Canadian National Exhibition,,Amusement Parks
6,0 Munro Park Avenue,,,,Munro Park,Fronted Lake Ontario. In operation from 1896 to 1906.,Amusement Parks
7,0 Queen Street East,,,,Scarboro' Beach Amusement Park,Operated from 1907 to 1925.,Amusement Parks
8,0 Coxwell Avenue,"Oleson Worland Architects (firm)
Pearse W.W.",1919,,Office and Stables for City,Office and Stables for City Street Cleaners built in 1919.  Transformed into townhouses in 1985 by Oleson Worland Architects.,Animal Housing
9,0 Exhibition Place,,1920s,,Horse Palace,"""Designed...as part of the plan to reconfigure the Exhibition grounds according to Beaux-Arts principles, and was one of the few structures actually realized"".",Animal Housing
10,0 Adelaide Street East,Ough Richard,1886,1935,St. James Chambers,Was situated at the South-West corner of Adelaide and Church Streets.,Apartment Houses
11,31 Alexander Street,Caspari Peter,,,City Park Apartments,"484 Church Street, 51 Alexander Street and 31 Alexander Street were Toronto's first high-rise apartment complex.",Apartment Houses
12,50 Alexander Street,Daniels John,1967,,Village Green (circular tower),,Apartment Houses
13,99 Avenue Road,Shulman Wilfred,late 1950s,2000,,Demolished to make way for another condominium apartment.,Apartment Houses
14,103 Avenue Road,Kohl Harry,,,,,Apartment Houses
15,500 Avenue Road,"Dickinson Peter
Page & Steele (firm)",,,,,Apartment Houses
16,561 Avenue Road,Page & Steele (firm),,,,,Apartment Houses
17,10 Avoca Avenue,Seligman & Dick (firm),,,,,Apartment Houses
18,150 Balmoral Avenue,Coon Stephen,1927-1928,,Balmoral,,Apartment Houses
19,1597 Bathurst Street,,,,Forest Hill Place,,Apartment Houses
20,1166 Bay Street,Cadillac Fairview Design (Team),,,Cadillac Fairview,,Apartment Houses
21,0 Bayview Avenue,,never,1981,Bayview Ghost,"Intended as an apartment building, the project halted in 1960 with only 7 floors constructed.   It was never finished.",Apartment Houses
