,Description,Name,Notes,Street,URL
0,"Writer, Self-trained Biologist, Scientific Illustrator and Naturalist",Ernest Thompson Seton  1860 - 1946,"Ernest Thompson Seton is one of the most important 19th-Century Toronto novelists.Seton began his career as a scientific illustrator and was a self-trained biologist.From the 1890s until his death he wrote about 60 books, and nearly 400 magazine articles and short stories. His book Wild Animals I Have Known, first published in 1898, has never been out of print. His dramatic wilderness stories brought him praise from such notable contemporaries as Andrew Carnegie, Rudyard Kipling, Theodore Roosevelt, Leo Tolstoy and Mark Twain.It is said that he had an almost mystical reverence for wolves and ‘Indians’ (the word used at the time). He thought that wolves were the most clever and noble of creatures and eventually called himself ‘Black Wolf.’ Indians to him were the finest people because of their understanding of, and respect for, nature.As one of the founders of the Boy Scouts and the Girl Guides of America, he inspired children to imitate the Indians’ ways.The message that Ernest Thompson Seton delivered for 60 years was that nature is a great gift and should be valued and protected. One of the more thought-provoking phenomena of the 20th century is the remarkable extent to which we have become a nation of nature lovers.In his time, Ernest Thompson Seton did more than his share to help this cause along.The E.T. Seton Park near the Ontario Science Centre is named in his honour. A plaque was also installed in Lindsay where his family settle after emigrating from England.Hear him talk:","6 Aberdeen Avenue, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/test-person-1/
1,Renowned Canadian Sculptor,"Walter Seymour Allward, R.C.A.  1876 - 1955","Walter Seymour Allward has been referred to as the Dean of Canadian Sculptors, and no doubt, one of the most important of this century. Born in Toronto in 1876, he attended Central Technical School. Mr. Allward then studied under prominent Canadian sculptors William Cruikshank and Emmanuel Hahn, and later in London, England, and Paris, France.Allward first worked or apprenticed as a draftsman for the architectural firm Gibson and Simpson before working at the Don Valley Brickworks where he modelled terra cotta decorative panels.His first commission at 19 years of age was the figure of “Peace” on the North-West Rebellion Monument which is located in Queen’s Park, Toronto (1895). His other early works included the “Old Soldier“, commemorating the War of 1812 in Portland Square, Toronto (1903); and a life-sized figure of Dr. Oronhyatekha (chief ranger) commissioned by the Independent Order of Foresters (1899).Now well established he received commissions to do busts of Lord Tennyson, Sir Charles Tupper, Sir Wilfred Laurier and others. On the grounds of Queen’s Park are statues of Lieutenant Governor John Graves Simcoe (1903), Sir Oliver Mowat (1905), John Sandfield Macdonald (1909), and William Lyon Mackenzie (1940).Allward was elected as associate of the Royal Canadian Academy in 1903. His diploma work, “The Storm” (c1920, bronze) is in the collection of the National Gallery of Canada.His heroic monuments include the South African War Memorial on University Avenue, the Baldwin-Lafontaine Monument on Parliament Hill in Ottawa, and the King Edward VII memorial in Ottawa.Walter Allward’s most important commission was the Canadian National Vimy Memorial, a monument to Canadians killed in the First World War built in Vimy, France (April 1917). Vimy Ridge’s impressive location and vantage point as much as the battle’s significance contributed to its selection. He began to sculpt the figures in clay in a studio in London, England. The clearing of the dangerous 100 hectare site of unexploded bombs, artillery shells, and grenades took two and a half years. It also took two years to find a suitable stone for the memorial. Eventually it was found in a quarry near Sarajevo, Yugoslavia where in 1914, the assassination of Austrian Archduke Franz Ferdinand and his wife had precipitated the outbreak of the First World War.It took fourteen years and $1.5 million dollars to complete. Designed in the early 1920’s, construction started in 1925 and was completed in 1936Canadian National Vimy MemorialAllward stated in a 1921 interview that his idea for the memorial was inspired by a wartime dream that he had never forgotten: “When things were at their blackest in France, I went to sleep one night after dwelling on all the muck and misery over there, my spirit was like a thing tormented… I dreamed I was in a great battlefield. I saw our men going in by the thousands and being mowed down by the sickles of death… Suffering beyond endurance at the sight, I turned my eyes and found myself looking down on an avenue of poplars. Suddenly through the avenue I saw thousands marching to the aid of our armies. They were the dead. They rose in masses, filed silently by and entered the fight to aid the living. So vivid was this impression, that when I awoke it stayed with me for months. Without the dead we were helpless. So I have tried to show this in this monument to Canada’s fallen, what we owed them and we will forever owe them.”Known as “ Allward of Vimy” Walter Allward’s greatest works have become a vibrant part of our national heritage.Allward appears as himself in the novel The Stone Carvers by Canadian author Jane Urquhart.A few other plaques honour Allward. One was installed in the median on University Avenue near Queen Street. Another is in Brantford at the Bell Memorial Gardens. A plaque has also been installed near his grave in the Saint John’s Anglican (York Mills) Church Cemetery in the northern part of the city.The unveiling and dedication by King Edward VIII of the Canadian National Vimy Monument on July 26, 1836.Hear him talk:","43 Amelia Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/walter-seymour-allward/
2,World-Renowned Innovator of Ballet Education,Betty Oliphant  1918 - 2004,"Betty Oliphant was born into a prominent family in London, England. Sadly for her, she never knew her father, who died shortly after she was born. She had a passion for dance and fought her middle-class British family for ballet lessons.In the late nineteen twenties and thirties she studied ballet along with stage, tap and ballroom dancing. When she was thirteen years old, she was teaching and dancing professionally, and at seventeen years of age she opened her own school above the Twinings Tea Emporium in London, England. At the age of twenty, she found that she was far too tall for classic dance.During the Second World War she worked as an ambulance driver, as a choreographer of pantomimes, and also for a British Army touring group, “The Blue Pencils”.When the war was over, Betty came to Canada as a war bride with her Canadian husband (a soldier) and her two children. She then opened a school on Sherbourne Street, and helped found the Canadian Dance Teachers Association.Betty Oliphant was the ballet mistress for eight years and later the Associate Artistic Director of the National Ballet of Canada, established by Celia Franca. She was a fabulous teacher but had a reputation as being a very difficult task master. Central to her approach as a ballet teacher was the importance of mastering technique, with the sole purpose of achieving freedom of expression.In 1959 “Miss O,” as she was called, co-founded the National Ballet School with Celia Franca. It was successful beyond their expectations, providing the best dance training and academic schooling combined. Among Miss Oliphant’s early students were, Robert Desrosiers, Karen Kain, James Kudelka, Veronica Tennant, Rex Harrington, and John Aleyne, a choreographer.Betty Oliphant’s legacy is huge. All her work has been an uncompromising quest for excellence and insistence upon the highest standards. She put Canadian Ballet training on the world map and broadened its definition to include the education of the whole person.Awards and HonoursThe National Ballet School’s theatre is called the Betty Oliphant Theatre.Hear her talk:","137 Amelia Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/betty-oliphant/
3,A Leading Figure in Canadian Radio Astronomy,"Allen Yen, PhD  1925 - 1993","Born in Canton, China in 1925, Allen Yen received his B.Sc. degree from Chiao Tung University. He obtained his M.Sc and Ph.D degrees from the University of Toronto, Department of Applied Physics in 1950 and 1953 respectively. He was appointed to the Faculty of Applied Science and Engineering at the University of Toronto in 1952, where he became Professor of Electrical Engineering in 1966.Professor Yen’s depth and breadth of knowledge contributed to the then-emerging disciplines of signal theory, and communication and digital signal processing on both the theoretical and experimental fronts.In 1967 Dr. Yen was co-recipient of the prestigious Rumford Medal awarded by the American Academy of Arts and Sciences for the development of VLBI – Very Long Baseline Interferometry.In recognition of his outstanding research and teaching career, Professor Yen was awarded the title of “University Professor” at the University of Toronto in 1980, and held that post until his formal retirement in 1991. Following his formal retirement, Allen Yen continued his work at the University of Toronto as “University Professor Emeritus” until his sudden death two years later.A Fellow of the Royal Society of Canada, he will be remembered, not only for his contribution to science, but also for his endless wisdom and love of sailing.","139 Amelia Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/allen-yen/
4,Pioneering Veterinarian,"Dr. Mary O'Riordan, D.V.M.  1925 - 1993","Born in Ennis, County Clare, Ireland, “Dr. Mary,” as she was known, is believed to be the first woman veterinarian to practice in that country. She continued her career in London and New York.In 1963 she moved to Toronto where she worked in an animal clinic. She subsequently opened her own animal hospital and was purported to be the first veterinarian to make house calls.In 1975 she wrote a picture book entitled Dr. Mary’s Animals, and became known to children, their parents and pets as Dr. Mary.Her Amelia Street home was open to her many friends and animals alike. Her parties were wonderful gatherings where she served Irish stew to cabinet ministers, authors, actors and members of the medical profession.She was a founder of Cabbagetown’s Annual Forsythia Festival and a director of the Toronto Press Club.Hear her talk:","160 Amelia Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/mary-oriordan/
5,"Comedian and Actor, Co-Founder of the Royal Canadian Air Farce",Roger Abbott  1946 - 2011,"“May The Farce Be With You!”Roger Abbott was born in Birkenhead, England. In 1953, his family emigrated to Canada and Roger grew up in Montreal. He attended Loyola High School and Loyola College where he met Don Ferguson, co-star and co-founder of the Royal Canadian Air Farce.While in university, Roger developed an obsession for working in radio. He began his broadcasting career in off-air programming and management in a private radio station. He stumbled into comedy in 1970 when comedians John Morgan and Martin Bronstein convinced him to join the cast of the improvisational theatre revue called The Jest Society, (a pun on then-Prime Minister Pierre Trudeau’s goal of making Canada a “Just Society”).The cast rapidly underwent changes and, by January 1971, had firmed up with Abbott, Bronstein, Morgan, Don Ferguson and Luba Goy. Dave Broadfoot joined when the show moved to radio in the fall of 1973 and became known as the Royal Canadian Air Farce.  In 1974, Martin Bronstein left the group and, in the late 1980s, Dave Broadfoot stepped aside as well.For several years the Air Farce recorded at the Curtain Club in Richmond Hill, then switched to CBC’s Parliament Street studio in Toronto; it eventually spent many years taping “on the road” in cities and towns across Canada.The weekly broadcast, which was always recorded in front of a live audience, ran for 24 seasons on CBC Radio. Don Ferguson called Roger “the guiding light of Royal Canadian Air Farce.” His talents were many and he possessed a unique combination of artistic, organizational and business skills. And, of course, he was funny!In 1993, the Air Farce made the jump to a weekly television series on CBC and became an instant hit. It ran for 16 seasons and was consistently the highest-rated Canadian comedy series.The troupe also played cross-Canada live tours and recorded several comedy albums.
Some of Roger Abbott’s most famous characters, among the dozens of real-life people he portrayed, were: the Queen Mother, Prime Minister Jean Chrétien, Leonard Cohen, U.S. President George W. Bush, CBC news anchor Peter Mansbridge, and whoever happened to be Pope. Among his fictitious characters were TV critic Gilbert Smythe Bite-Me, one half of the Jimmy and Shamus News From Away News Team (with Don Ferguson), First Nations Spokesman “Billy Two Willies” and his beloved sugar-addicted Doughnut Shop regular.Roger has been described as a game changer in the world of Canadian comedy. He especially made the country laugh during the election campaigns. The Farce members were forerunners of political satire in Canada and they made the country laugh for almost four decades.From 1992 to present day, Canadians have celebrated the New Year with the annual Air Farce New Year’s Special on CBC television, which like both radio and TV series, continues to be performed before a live audience.Roger’s favourite charity was Easter Seals Ontario. He was committed to helping children with physical disabilities and was an ardent supporter for more than 30 years. Both Roger and Don Ferguson were jointly honoured as the 2008 recipients of the distinguished Easter Seals Toronto’s Tribute, one that honours excellence for their support of children and youth with physical disabilities. For over 25 years, they hosted the Easter Seals Telethon on CBC television.Abbott co-wrote with Don Ferguson the book Air Farce: 40 Years of Flying by the Seat of Our Pants and it was published in 2011. It’s a memoir full of anecdotes, photographs, scripts, and other memorabilia.Roger loved life, especially his frequent trips to Italy. And he particularly enjoyed his years living on Amelia Street. He was an avid historian of Toronto and could tell many an anecdote about the creation and development of his beloved Cabbagetown neighbourhood.His untimely death in 2011 was a shock to all who knew him personally or as a comedian. In honour of his passing and to mark his contribution to the artistic life of the country, the National Arts Centre in Ottawa flew its flag at half-mast.Shawn Majumder of CBC TV This Hour Has 22 Minutes said that “his impact on Canadian television, radio and comedy in general is so huge, it’s so massive and so rooted in Canadian culture, that his life will be celebrated for a very, very long time.”Awards and Honours","132 Amelia Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/roger-abbott/
6,A Giant in Canadian Broadcast Journalism,Gordon Sinclair  1900 - 1984,"One of the biggest names in Canadian broadcast journalism is Gordon Sinclair. In 1922 he began working as a reporter for the Toronto Daily Star. He had a series of assignments in the late twenties and thirties that sent him around the world four times as a wandering reporter. He traveled 360,000 miles, through all continents, and on all oceans except the Antarctic. From these adventures he wrote the following four books: Footloose In India, Cannibal Quest, Loose Among the Devils and Khyber Caravan.His career took a turn in 1942 and he began working in radio. He reported on the raid on Dieppe, and he was then asked to write biographical sketches of leaders in that raid. The result was a mid-day personality series – Let’s Be Personal, on Canada’s radio station CFRB which attracted huge audiences, and which continued until the time of his death.At this time, Gordon Sinclair was still working for the newspaper. After 21 years as a newspaperman he quit the Toronto Star and opted for a free-lance career in radio.In 1948, CFRB granted Gordon Sinclair a leave and he took a fifth trip around the world, traveling to Japan, China, Malaya, and on to Europe. He witnessed the takeover of China by the communists.In 1957 he became a charter member of Front Page Challenge, a weekly panel show on the CBC TV network. It was Canada’s longest running television program, which continued until 1995.“Sinc’s” most famous commentary was broadcast in 1973 when anti-American sentiment was at an all-time high. The piece was echoed around the world and is considered one of the most respected tributes from Canada to the people of the United States of America. Its renewed popularity in September 2001 can be attributed to recent terrorist attacks on U.S. soil.Hear him talk:","327-355 Carlton Street, Toronto, ON M5A 3W3, Canada",http://www.cabbagetownpeople.ca/person/gordon-sinclair/
7,Screenwriter and Film Director,Patricia Anne Watson  1930 - 2015,"Patricia Watson began her career working at the National Film Board of Canada writing, directing and producing films. Her first documentary film, Every Second Car, which was co-directed with Rex Tasker, focused on the necessity of seatbelts in cars.The subject matter of her early films was about, or for, children. Her film The Invention of the Adolescent, which she wrote and directed, received three awards.Patricia Watson then turned her attention to the making of documentary films on the lives of women, immigration, adoption and feminist topics. She directed and co-produced The Legacy of Mary McEwan, a film about Canada’s first feminist psychiatrist. This film made a huge impact on women artists.While married to the director Allan King, Ms. Watson began writing screenplays for feature films. The film A Bird in the House (1973), of which she wrote the screenplay, was directed by Mr. King. The two went on to write and direct W.O. Mitchell’s Who Has Seen the Wind. The film was viewed throughout North America and became the top grossing film of that year and received several awards.She wrote the screenplay for The Nutcracker Prince, an animated Warner Brothers film, and the screenplay for the “Conversions” episode of the first season of The Road to Avonlea.The short stories that Patricia Watson wrote include My Husbands Wedding, a story about three middle-aged women living in Cabbagetown in the 1980s. As a resident of Cabbagetown, she had a keen interest in the community and her descriptions of places are very well written and have been described as elegant and convincing.She was also a member of the Heliconian Club for many years where she had several exhibitions of her art.Patricia Watson will be remembered for her contributions to Canadian documentary and feature film. Emerging filmmakers will be inspired by her legacy.AwardsFor her film The Invention of the AdolescentFor her film A Bird in the HouseFor her film Who Has Seen the WindHear her talk:","397 Carlton Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/patricia-watson/
8,Filmmaker,"Allan Winton King, OC  1930 - 2009","Allan King was born in Vancouver B.C. and attended both junior and high schools in Kitsilano. At this time, he worked as a stagehand and assistant on his friend Stan Fox’s first film, GLUB. He and Stan watched 2- and 4-reel comedies and eventually they became projectionists at the Vancouver Film Society in 1947 and began programming the group’s screening program. They previewed endless films including German Expressionist and Soviet montage films from the catalogue of the Museum of Modern Art in New York City. After earning an honours degree in philosophy from the University of BC he ran the UBC’s concert season 1950-51. Here he learned marketing and organizational skills. By this time his life experiences were extensive, not only culturally but intellectually.His early life presented him with many challenges as his father was an alcoholic and at one point his mother had to place her two children in foster care. She eventually divorced her husband and when Allan was 15 she remarried and both children took their stepfather’s last name, which was King. It has been said the Allan King embraced film as an entry point to other people’s traumas mainly to empathize with the human condition in all its limitless variety.After touring Europe with his first wife Phyllis Leiterman, he returned to Canada. In 1954 he joined the CBC Vancouver. Working as a director and producer, he made his first CBC documentary, Skidrow, about alcoholic men living in the flophouses of Vancouver’s Downtown Eastside. His father had died a few years earlier.Feeling the need for change, in 1958 Mr. King moved his family to Ibiza in the Balearic Islands, determined to become an independent filmmaker. He eventually shot his first dramatized documentary Running Away Backwards about Canadian expatriates living on the island of Ibiza.On returning to Canada he was commissioned by CBC to make Warrendale, his first major feature documentary work. The film was about emotionally disturbed children at a mental health facility in Toronto. Jean Renoir, the late filmmaker, is said to have considered the film the most remarkable documentary he had ever seen.Now married to his second wife screenwriter Patricia Watson, he began directing her adaptations of A Bird in the House, Red Emma and Who Has Seen the Wind.These successes were followed by One Night Stand, an adaptation of playwright Carol Bolt’s story about modern sexuality. This piece was made for television and during the 1980s and 1990s Alan King directed many episodes of television series including Danger Bay and The Road to Avonlea.He made another feature film Termini Station, based on a script written by his third wife Colleen Murphy. Now in his seventies, a new series of documentary films, The Dragon’s Egg (1999), Dying at Grace (2003) and Memory for Max, Claire, Ida and Company (2005), dealt with upheaval in ones country, death and dementia. They were a huge success and won rave reviews, traveled internationally to many festivals and were released. In 2006 his final major film EMPz 4 Life was completed. This film studied racial stereotyping of young black men in Toronto.Alan King served as president of the Directors Guild of Canada in 1970-1971 and from 1993-2000. His awards speak to his passion and expertise for film. His empathy with the human condition and many personal life experiences are evident in all of his works. Mr. King is a celebrated filmmaker within and far beyond our Canadian borders.AwardsFilm AwardsHear him talk:","397 Carlton Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/allan-king/
9,First Private Owner of Land in Cabbagetown,Lieutenant Francis Gwillim Simcoe  1791 - 1812,"The plaque was near the intersection of Sumach and Carlton streets. It was recently damaged and will be replaced in the near future.Francis Simcoe was the eldest son of John Graves Simcoe and Elizabeth Posthuma Simcoe. John was the first Lieutenant Governor of Upper Canada. Elizabeth drew sketches and painted watercolours as well as wrote detailed diaries.Francis was a year old in 1792 when the family came to Newark, now known as Niagara-on-the-Lake.In 1793 they moved to York, later to be named Toronto. Francis’s father selected a 200-acre lot for his son was well-located on a height of land and looking down upon the Don River. By law, a home had to be built in order to secure Francis’s title to the land. This was done, the home was called Castle Frank, and Francis became the first private owner of these lands, which encompass present day Cabbagetown and surroundings.Francis’ mother, Elizabeth Posthuma SimcoeLetters written by his mother, sisters, and by Francis himself tell about his childhood at Eton, in London England.At sixteen, he was an ensign on the 27th Inniskilling Regiment. Francis Simcoe died at the age of twenty-one while leading a storming party under the command of the Duke of Wellington, during the Siege of Badajoz, Spain (one of the great Napoleonic Battles).Castle Frank. Watercolour by Elizabeth Simcoe, Archives of Ontario","Riverdale Park, Winchester Street, Toronto, ON, Canada",http://www.cabbagetownpeople.ca/person/lieutenant-francis-gwillim-simcoe/
