,poi_id,name,build_year,demolished_year,address,latitude,longitude,external_url,image_url,heritage_status,current_use,poi_type,source,details,style,category,cleaned_year,build_decade,poi_type_simple,sim_rating
234,317,Adam Beck Memorial,1934,, University Avenue Financial District Toronto,43.65538,-79.38839,http://www.acotoronto.ca/show_building.php?BuildingID=4243,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/AdamBeckMemorial.jpg,Heritage property,,Monument,http://www.acotoronto.ca/,,Art deco,,1934.0,1930.0,Art,0.5
201,284,Mimico Cenotaph,unknown,, Lake Shore Boulevard West Mimico Etobicoke,43.61741,-79.48729,http://www.acotoronto.ca/show_building.php?BuildingID=8323,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/MimicoCenotaph.jpg,No heritage status,,Monument,http://www.acotoronto.ca/,,Art deco,,,,Art,0.5
231,314,Exhibition Place; Shrine Peace Memorial,1930,,2 Strachan Avenue Exhibition Place Toronto,43.63489,-79.40936,http://www.acotoronto.ca/show_building.php?BuildingID=2690,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/ShrinePeaceMemorial1.jpg,Heritage property,,Monument,http://www.acotoronto.ca/,,Art deco,,1930.0,1930.0,Art,0.5
403,528,Morrison Planter,1876,, Avenue of the Islands Toronto Islands Toronto,43.62031,-79.37587,http://www.acotoronto.ca/show_building.php?BuildingID=8678,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/MorrisonPlanter1.jpg,Heritage property,,Monument,http://www.acotoronto.ca/,"This ornament was originally located at the Philadelphia Exposition of 1876. It was donated to the citizens of Toronto one year later to commemorate Queen Victoria's birthday, and was placed on the west side of St. Lawrence Market. Later, it was moved to the entrance of the Island Ferry Docks (the Toronto Ferry Company Waiting Room). It was restored and moved to its current location at Centreville Amusement Park in 1978.",Classical revival,,1876.0,1870.0,Art,0.5
2653,2778,Massey Mausoleum,1894,,1643 Yonge Street Moore Park Toronto,43.69197,-79.39495,http://www.acotoronto.ca/show_building.php?BuildingID=9804,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/MasseyMausoleum1.jpg,No heritage status,,Monument,http://www.acotoronto.ca/,,Richardsonian Romanesque,,1894.0,1890.0,Art,0.5
990,1115,St. James' Cathedral War Memorial,1927,,106 King Street East Downtown East Toronto,43.6503286,-79.3737598,http://www.acotoronto.ca/show_building.php?BuildingID=2525,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/StJamesWarMemorial.jpg,Heritage property,,Monument,http://www.acotoronto.ca/,,Gothic revival,,1927.0,1920.0,Art,0.5
2584,2709,Dr. William D. Young Memorial Drinking Fountain,1919,,2075 Queen Street East The Beach Toronto,43.66999,-79.29925,http://www.acotoronto.ca/show_building.php?BuildingID=7354,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/WDYoungFountain1.jpg,Heritage property,,Monument,http://www.acotoronto.ca/,"This fountain, located in Kew Beach.",Renaissance revival,,1919.0,1910.0,Art,0.5
2921,3096,23-25 Walker Avenue,1886,,23-25 Walker Avenue Summerhill Toronto,43.68245,-79.393,http://www.acotoronto.ca/show_building.php?BuildingID=6819,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/23-25WalkerAve.jpg,No heritage status,Residential,Semi-detached house,http://www.acotoronto.ca/,Date is approximate. This house was built for John Walker.,Second empire,,1886.0,1880.0,Building,0.0
2922,3097,257-263 Wellesley Street East,1878,,257-263 Wellesley Street East Cabbagetown Toronto,43.66769,-79.37096,http://www.acotoronto.ca/show_building.php?BuildingID=4027,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/257-263WellesleyStE3.jpg,Cabbagetown Northwest Heritage Conservation District,Residential,Rowhouse,http://www.acotoronto.ca/,,Second empire,,1878.0,1870.0,Building,0.0
2920,3095,105-109 Trinity Street,1885,,105-109 Trinity Street Corktown Toronto,43.65313,-79.36114,http://www.acotoronto.ca/show_building.php?BuildingID=4847,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/105-109Trinity.jpg,No heritage status,Residential,Rowhouse,http://www.acotoronto.ca/,,Second empire,,1885.0,1880.0,Building,0.0
2919,3094,26-28 Tiverton Avenue,1906,,26-28 Tiverton Avenue Riverdale Toronto,43.66472,-79.34553,http://www.acotoronto.ca/show_building.php?BuildingID=9343,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/26-28TivertonAve.jpg,Riverdale Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,"The original owner of this building was Harold Rochester. The first tenant at 26 Tiverton Avenue was John Kennersley, a bookkeeper. The first tenant at 28 Tiverton Avenue was Joseph Kennersley, a foreman.",Second empire,,1906.0,1900.0,Building,0.0
2923,3098,265-271 Wellesley Street East,1876,,265-271 Wellesley Street East Cabbagetown Toronto,43.66777,-79.3704,http://www.acotoronto.ca/show_building.php?BuildingID=3823,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/265-271WellesleyStE1.jpg,Cabbagetown Northwest Heritage Conservation District,Residential,Rowhouse,http://www.acotoronto.ca/,,Second empire,,1876.0,1870.0,Building,0.0
2924,3099,323 Wellesley Street East,unknown,,323 Wellesley Street East Cabbagetown Toronto,43.6682,-79.36836,http://www.acotoronto.ca/show_building.php?BuildingID=8068,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/323WellesleyStE.jpg,Cabbagetown North Heritage Conservation District,Residential,Detached house,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2918,3093,19-21 Tiverton Avenue,1907,,19-21 Tiverton Avenue Riverdale Toronto,43.66451,-79.34503,http://www.acotoronto.ca/show_building.php?BuildingID=9324,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/19-21TivertonAve.jpg,Riverdale Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,"The original owner of this building was David Fasken. The first resident at 19 Tiverton Avenue was Robert Steele, a salesman. The first resident at 21 Tiverton Avenue was Rose Smith.",Second empire,,1907.0,1900.0,Building,0.0
2925,3100,394-396 Wellesley Street East,unknown,,394-396 Wellesley Street East Cabbagetown Toronto,43.66921,-79.36574,http://www.acotoronto.ca/show_building.php?BuildingID=3796,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/394-396WellesleyStE.jpg,Cabbagetown North Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2926,3101,438-444 Wellesley Street East,unknown,,438-444 Wellesley Street East Cabbagetown Toronto,43.66956,-79.3642,http://www.acotoronto.ca/show_building.php?BuildingID=3929,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/438-444WellesleyStE1.jpg,Cabbagetown North Heritage Conservation District,Residential,Rowhouse,http://www.acotoronto.ca/,,Second empire,,,,Building,0.0
2927,3102,10-16 Wellesley Street West,1876,,10-16 Wellesley Street West Downtown Toronto,43.66496,-79.38543,http://www.acotoronto.ca/show_building.php?BuildingID=3136,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/10-16WellesleyE.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Rowhouse,http://www.acotoronto.ca/,"This is a four unit building designed in a Second Empire style. It has been overÍ²clad, obscuring its architectural features.",Second empire,,1876.0,1870.0,Building,0.0
2928,3103,Warehouse Store,1845,,15 Wellington Street West Financial District Toronto,43.6475389,-79.3780705,http://www.acotoronto.ca/show_building.php?BuildingID=3733,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/15WellingtonW.jpg,Union Station Heritage Conservation District,Commercial,Low-rise,http://www.acotoronto.ca/,"This building has now been incorporated into BCE Place. Because of difficulties interpreting the Inventory of Heritage Properties, there is some chance this is the wrong building.",Second empire,,1845.0,1840.0,Building,0.0
0,2,22 Chestnut Park,1905,,22 Chestnut Park Rosedale Toronto,43.67938,-79.3881,http://www.acotoronto.ca/show_building.php?BuildingID=4388,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/22ChestnutPark.jpg,South Rosedale Heritage Conservation District,Residential,Detached house,http://www.acotoronto.ca/,"First Occupant: Falconbridge, John D.

First OccupantÂ´s Occupation: Lawyer (Cassels, Brock, Kelly)",American colonial,,1905.0,1900.0,Building,0.0
2930,3105,13-15 Winchester Street,1880,,13-15 Winchester Street Cabbagetown Toronto,43.66533,-79.37024,http://www.acotoronto.ca/show_building.php?BuildingID=8057,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/13-15WinchesterSt2.jpg,Cabbagetown Northwest Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,,Second empire,,1880.0,1880.0,Building,0.0
2929,3104,71-73 West Avenue,1909,,71-73 West Avenue Riverdale Toronto,43.66538,-79.34636,http://www.acotoronto.ca/show_building.php?BuildingID=9299,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/71-73WestAve.jpg,Riverdale Heritage Conservation District,Residential,Semi-detached house,http://www.acotoronto.ca/,The original owner of 71 West Avenue was John A. Ball. The original owner of 73 West Avenue was Francis A Borden.,Second empire,,1909.0,1900.0,Building,0.0
2938,3113,51 Yonge Street,1847,,51 Yonge Street Downtown East Toronto,43.64818,-79.37716,http://www.acotoronto.ca/show_building.php?BuildingID=3022,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/51Yonge.jpg,Heritage property,Commercial,Mid-rise,http://www.acotoronto.ca/,This was built for A.V. Brown in 1847. The facade was altered sometime between 1872 and 1881 for Casimir Gzowski. The 2nd Empire roof was  added prior to 1890. Alterations were made to the building in 1890 for the Commercial Travellers Association.,Second empire,,1847.0,1840.0,Building,0.0
2944,3119,538-544 Yonge Street,1873,,538-544 Yonge Street Downtown Toronto,43.66425,-79.38448,http://www.acotoronto.ca/show_building.php?BuildingID=2506,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/538-544Yonge.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Low-rise,http://www.acotoronto.ca/,This is a 2.5 storey brick building in a Second Empire Style. It is part of a row divided into pairs of units by projecting fire walls (3 in total). The slateÍ²tiled mansard roof is capped by a substantial moulded cornice and ends at a projecting cornice/gutter. There is one central dormer in each unit with 1/2 round projecting roof supported on brackets and trim that frame the 1/2 round window opening. The cornice is supported on 3 brackets joined by a banding course.,Second empire,,1873.0,1870.0,Building,0.0
2943,3118,533 Yonge Street,1880,,533 Yonge Street Church-Wellesley Toronto,43.66417,-79.38383,http://www.acotoronto.ca/show_building.php?BuildingID=2026,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/533Yonge.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Low-rise,http://www.acotoronto.ca/,This is a 2.5 storey building designed in a Second Empire style with elements of Italianate and Queen Anne as well. Is has a mansard roof with three dormers. It is clad in brick with dichromatic stone work in the form of continuous decorated lintels.,Second empire,,1880.0,1880.0,Building,0.0
2942,3117,529 Yonge Street,1876,,529 Yonge Street Downtown Toronto,43.66412,-79.3838,http://www.acotoronto.ca/show_building.php?BuildingID=10654,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/852916f3.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Low-rise,http://www.acotoronto.ca/,"This is a 2.5 storey building designed in a Second Empire Style. It is clad in brick that has been painted. It has a mansard roof with three dormers with moulded eaves. There is a dentil frieze below the mansard and framing a projecting eaves and brick corbeling. Window openings are rectangular,
with a large central bay window.",Second empire,,1876.0,1870.0,Building,0.0
2941,3116,527 Yonge Street,1876,,527 Yonge Street Church-Wellesley Toronto,43.66402,-79.38395,http://www.acotoronto.ca/show_building.php?BuildingID=2024,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/527-529Yonge.jpg,Historic Yonge Street Heritage Conservation District,Commercial,Rowhouse,http://www.acotoronto.ca/,This is a 2.5 storey building designed in a Second Empire Style. It is clad in brick that has been painted. It has a mansard roof with three dormers with moulded eaves. Window openings have Italianate style lintels with decorated keystones and voussoirs.,Second empire,,1876.0,1870.0,Building,0.0
