poi_id,name,build_year,build_decade,build_year_clean,demolished_year,address,latitude,longitude,external_url,image_url,heritage_status,current_use,poi_type,poi_type_simple,source,details,style,neighbourhood
1,43 Cross Street,unknown,,,,"43 Cross Street Weston York, ON",43.705088200000006,-79.5255011,http://www.acotoronto.ca/show_building.php?BuildingID=8501,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/43CrossSt.jpg,Weston Heritage Conservation District,,Detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Weston (113)
10,J. H. McKinnon House,1888,1880.0,1888.0,,"506 Jarvis Street Church-Wellesley Toronto, ON",43.66735,-79.37912,http://www.acotoronto.ca/show_building.php?BuildingID=2062,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/JHMcKinnonHouse.jpg,Heritage property,,Detached house,Building,http://www.acotoronto.ca/,,Queen Anne,Church-Yonge Corridor (75)
16,121 Major Street,1885,1880.0,1885.0,,"121 Major Street Harbord Village Toronto, ON",43.66081,-79.40378,http://www.acotoronto.ca/show_building.php?BuildingID=10418,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/583ac54e.jpg,,,Rowhouse,Building,http://www.acotoronto.ca/,,Toronto Bay and Gable,University (79)
45,22 Chestnut Park,1905,1900.0,1905.0,,"22 Chestnut Park Rosedale Toronto, ON",43.67938,-79.3881,http://www.acotoronto.ca/show_building.php?BuildingID=4388,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/22ChestnutPark.jpg,South Rosedale Heritage Conservation District,,Detached house,Building,http://www.acotoronto.ca/,"First Occupant: Falconbridge, John D.

First OccupantÂ´s Occupation: Lawyer (Cassels, Brock, Kelly)",American colonial,Rosedale-Moore Park (98)
60,23-25 Gifford Street,unknown,,,,"23-25 Gifford Street Cabbagetown Toronto, ON",43.663470000000004,-79.36319,http://www.acotoronto.ca/show_building.php?BuildingID=4898,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/23-25Gifford.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
63,41-43 Gifford Street,unknown,,,,"41-43 Gifford Street Cabbagetown Toronto, ON",43.663940000000004,-79.36334000000001,http://www.acotoronto.ca/show_building.php?BuildingID=4903,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/41-43Gifford.jpg,Cabbagetown South Heritage Conservation District,,Semi-detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Cabbagetown-South St.James Town (71)
65,Ivey House,1900,1900.0,1900.0,,"406 Jarvis Street Church-Wellesley Toronto, ON",43.66441,-79.37785,http://www.acotoronto.ca/show_building.php?BuildingID=2160,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/IveyHouse.jpg,Heritage property,,Detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Church-Yonge Corridor (75)
66,Parade; East Building,2010,2010.0,2010.0,,"21 Iceboat Terrace Fashion District Toronto, ON",43.640440000000005,-79.39715,http://www.acotoronto.ca/show_building.php?BuildingID=4103,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/ParadeR1.jpg,No heritage status,,High-rise,Building,http://www.acotoronto.ca/,"This building consists of a podium with two towers attached. One tower is 39 storeys, with a height of 111.5 m. The other is 18 storeys, with a height of 52.75 m. It is connected by a walkway several floors above ground to the west tower.",Neo-modernist,Waterfront Communities-The Island (77)
69,35 Little Avenue,unknown,,,,"35 Little Avenue Weston York, ON",43.6996705,-79.5199786,http://www.acotoronto.ca/show_building.php?BuildingID=8475,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/35LittleAve.jpg,Weston Heritage Conservation District,,Detached house,Building,http://www.acotoronto.ca/,,Arts and Crafts,Weston (113)
70,138 Madison Avenue,1903,1900.0,1903.0,,"138 Madison Avenue The Annex Toronto, ON",43.672979999999995,-79.40545,http://www.acotoronto.ca/show_building.php?BuildingID=5343,http://www.acotoronto.ca/tobuilt_bk/php/Buildingimages/138Madison1.jpg,"West Annex Phase I, Madison Avenue, Heritage Conservation District",,Detached house,Building,http://www.acotoronto.ca/,"Style Note: Eclectic, English Aesthetic Movement, California Clinker Brick

This property contributes to the Toronto Annex streetscape of the District with a house form building similar in height and front yard setback to its neighbours. The
2.5 storey detached villa with appearance of an assymetric centre hall plan constructed during the period of signi cance between 1885 and 1925 in Eclectic, English Aesthetic Movement style by an important architect of the period with suf cient integrity to permit restoration. Features representative of the English Aesthetic movement style include asymmetrical massing and door location, central chimney indicating a possible inglenook in the entry hall, and horizontal emphasis in windows and other detailing. The clinker brick is popular in similarly in uenced houses in California. Gates and front garden wall important features.

Hamilton Townsend was OAA president, opposed to TorontoÂ´s Architectural Eighteen Club Reference, Contract Record, volume 14, Sept 1903

It was determined that the architect for no. 138 Madison, was Hamilton
Townsend, not Jocelyn Davidson as attributed by Patricia McHugh who also mistakenly named the house Rivermead. McHughâs information conflicts with the
1903 Contract Record [Toronto], vol. Xiv, 16 September 1903, which indicates the
house at 138 Madison as designed by architect S.H. Townsend. Gardiner descendants cleared the confusion. The Gardiner family did live at 138 Madison Avenue, but Rivermead was the name of the family weekend property in Weston, designed by Jocelyn Davidson.",Arts and Crafts,Annex (95)
