,Latitude,Longitude,Name,Notes,Subject,URL
0,43.663153,-79.327211,Alexander Muir 1830-1906,"A maple tree on the southwest corner of Laing Street and Memory Lane, a block south of Queen Street, is reputed to be the tree that inspired Alexander Muir to compose the song ""The Maple Leaf Forever"" in 1867. For many years it became like a second national anthem before fading away. I have printed the words to the song at the very bottom of this page. Reading those words may give you some idea as to why the song is no longer popular. A 1958 Grand Orange Lodge of British America plaque is near the tree and reads as follows: Principal of nearby Leslieville Public School who was inspired to write Canada's national song ""The Maple Leaf Forever"" by the falling leaves of this sturdy maple tree.",Arts,/Pages/Alexander_Muir.html
1,43.66205,-79.37973,The Beatles,"Inside the former Maple Leaf Gardens, now a Loblaws, at the ""Canteen"" on the main level imbedded in the top of a table is this plaque. Here's what it says: Beatlemania wasn't quite dead, but it was clearly on the wane. In 1964, on the first North American tour, the Fab Four were greeted by 10,000 fans at the airport in Toronto, and were mobbed at their hotel - where one enterprising teenaged girl even managed to hide in their closet. Their two shows set an attendance record at Maple Leaf Gardens. A year later, when they rolled into town on the heels of their wild and triumphant concert at Shea Stadium, Gardens' owner Harold Ballard turned up the heat, turned off the water fountains, and made a fortune selling soft drinks as the lads from Liverpool again packed the arena for two shows. But by August 17, 1966, something had changed. John Lennon's crack about the band being more popular than Jesus had stirred controversy and protest. Only 800 fans were at the airport to greet the Beatles, and on the day of the shows, tickets were still available. As before, the Beatles only played a dozen songs, and were preceded by several opening acts - which included The Ronettes. Rumours abounded that this would be the band's final tour. ""It would be embarrassing to perform Long Tall Sally when we're 35,"" Paul McCartney said at the pre-concert press conference. ""We can't go on holding hands forever,"" John Lennon added. Writing in the Toronto Star, Arthur Zeldin had it right. He noted that the band didn't play some of their more ambitious recent songs like Eleanor Rigby live, because they couldn't replicate what they did in the studio on stage. Meanwhile, their more subtle numbers - Yesterday was a clear crowd favourite - were all but drowned out by the screaming. ""So, by the very forces of their musical experimentation and development, the Beatles may be taking themselves off the touring, mass live audience scene,"" Zeldin wrote. Maple Leaf Gardens was the only building the Beatles visited on all three of their North American tours, and after that show in 1966, they would play only eight more concerts, and then never do an official live show again. But of course, that was hardly the end of the story.-Stephen Brunt",Arts,/Pages/Beatles.html
2,"43.643193,",-79.423296,The Beatrice Lillie Building,"Here at 1115 Queen Street West at Lisgar Street is a building named after a Toronto born stage actor. A plaque attached to the wall of the building has this to say: The world renowned star of English musical comedy, Beatrice Lillie, was born May 28, 1894 at 68 Dovercourt Road. She was educated at Alexander Muir-Gladstone Public School and Loretto Academy in Toronto. At age 15 Beatrice moved to England with her family where she began a long and successful career on the London stage. In 1920 she married the great grandson of the 19th century statesman Sir Robert Peel and became Lady Peel. Beatrice Lillie's irrepressible wit and remarkable talent endeared her to audiences on both sides of the Atlantic. She became known as the darling of both Broadway and London stages appearing in more than 40 shows in a career spanning over 50 years.",Arts,/Pages/Beatrice_Lillie_Building.html
3,43.650811,-79.382486,Bernard Keble Sandwell (1876-1954),"I used to read Saturday Night magazine quite regularly until it died. There's a Historic Sites and Monuments Board of Canada plaque here at the Graphic Arts Building at 73 Richmond Street West at the corner of Sheppard Street with the story of one of its early editors: Journalist, essayist, lecturer and academic, B.K. Sandwell is best remembered as the influential editor (1932-1951) of Saturday Night, which he made the voice of English Canadian liberalism. B.K. was a prolific writer, whose ambition was to achieve clear thinking on human problems and who was read widely for his great wit, shrewdness and grace of expression. His views on a wide range of subjects guided the options of an exclusive but important audience. In his ardent defence of civil liberties, he was ahead of his generation.",Arts,/Pages/Bernard_Keble_Sandwell.html
4,43.67115,-79.38708,Boris Volkoff,"This 2009 Heritage Toronto plaque can be found on the wall of a building on the east side of Yonge Street north of Bloor Street across from Cumberland Street. Here's what it tells us: Boris Volkoff came to Toronto in 1929 as an outstanding ballet dancer trained in a technical and expressive style associated with the Bolshoi Theatre in Moscow. Volkoff began choreographing shows for the Toronto Skating Club in 1934, and eventually built an international reputation for his ballets on ice. He would also earn the title ""the father of Canadian Ballet"". In his dance school, founded on this site in 1030, Volkoff inspired new generations of dancers, developed an audience to support their art, and created original Canadian works for them to perform, including ""The Red Ear of Corn"" (1949). Volkoff also founded one of Canada's earliest ballet companies and co-founded the influential Canadian Ballet Festival; both make possible the formation of The National Ballet of Canada in 1951. A year before his death, Bris Volkoff was appointed a Member of the Order of Canada for ""his pioneer work in the field of ballet"".",Arts,/Pages/Boris_Volkoff.html
5,43.6612,-79.34595,Bruce Mackey,"In Bruce Mackey Park, west of the railway tracks, on the east side of De Grassi Street, between Queen and Dundas streets, are these three plaques. The plaque information is courtesy of The Playing With Time Foundation. Here's what the large centre one says: Bruce Mackey was a long-time resident of Degrassi Street. In the 1970s he offered his encouragement and his home to a pair of young filmmakers, Linda Schuyler and Kit Hood. They were making a short children's film and Bruce's home became the set for what would be the very first Degrassi television episode. Bruce's enthusiasm for his diverse and lively neighbourhood was contagious and the early episodes of the Degrassi series prominently featured Degrassi Street homes, the grocery store, the local parks and schools. Linda and Kit embraced the essence of this east end neighbourhood and their work was lauded for its portrayal of real life in downtown Toronto. Bruce's observations of real school life were passed on to the producers and writers and were incorporated into storylines. Using local youngsters, many of Bruce's own students, as actors in the films, the multicultural flavour of the cast became a hallmark of the series. Over the next twenty years, until his untimely death from cancer in 1997, Bruce was a mentor to the filmmaking team. He provided them with ideas for scripts and locales, and he appeared in several episodes as the stern but caring teacher who peered at the Degrassi students over the rims of his glasses. To many of the Degrassi television family, he's fondly remembered as ""The Grandfather of Degrassi"".",Arts,/Pages/Bruce_Mackey_Degrassi.html
6,43.745875,-79.406888,C.W. Jefferys 1869-1951,"This house, located at 4111 Yonge Street on the east side, just north of York Mills Road, is the former residence of artist C.W. Jefferys. this Ontario Heritage Trust plaque there tell us this: This house was the residence and studio of one of Canada's leading historical artists. Born in Rochester, England, he came to Toronto about 1880, and first worked as a lithographer's apprentice. He studied art under G.A. Reid and C.M. Manley, and was a pioneer in the painting of distinctive Canadian scenes. Jefferys had an intense interest in history and his reputation rests principally on his accurate and meticulous portrayal of early Canadian life. The best known collection of his historical sketches is ""The Picture Gallery of Canadian History"". Jefferys was a president of the Ontario Society of Artists and a member of the Royal Canadian Academy of Arts.",Arts,/Pages/C_W_Jefferys.html
7,43.637024,-79.469543,The Canoe & Calipers,"Located on the southeast corner of The Queensway and Windermere Avenue is this public art for Windemere by the Lake. The accompanying plaque has this to say: This sculpture of Canoe and Calipers, marks the meeting of two technologies: the calipers a symbol of the old world and the canoe a gift of the First Nations. Both were instrumental in shaping Canada and on a smaller scale both refer to the history of the area - First Nations peoples and early explorers canoed Lake Ontario to the south and the Humber River to the west. Most recently the Stelco/Swansea Iron Works Factory which made nuts and bolts occupied this site.",Arts,/Pages/Canoe_and_Calipers.html
8,43.661015,-79.394706,Charles William Jefferys 1869-1951,"An Historic Sites and Monuments Board of Canada plaque here at the west end of the Medical Sciences Building at 1 King's College Circle on the grounds of the University of Toronto says this about the artist: Writer, artist, and illustrator of historical novels and textbooks, Charles Jefferys emigrated to Canada from England in 1879. After studying at the Toronto Art Students League, he joined the New York Herald as an illustrator in 1892, but returned to Canada in 1900 to work as a freelance artist for the Globe and the Daily Star. From 1911 to 1939 he taught drawing and painting at the University of Toronto. He painted landscapes and historical subjects across Canada, but is best known for his carefully researched drawings, such as those in his three volume Picture Gallery of Canadian History.",Arts,/Pages/Charles_William_Jefferys.html
9,43.652402,-79.376349,'Deeds Speak' Sculptural Reliefs,"In front of the parking garage of the building on the east side of Berti Street just north of Richmond Street East, is this 2010 Heritage Toronto plaque. Here's what it says: The adjacent York County Coat of Arms and the female figure inside the entrance once adorned the York County Registry Office, formerly located on this site. Commissioned by the County in 1941, the sculptural reliefs were created by Jacobine Jones, a leader in the field of architectural sculpture, who later became the Director of Sculpture at the Ontario College of Art. These sculptures remained with the building when the County left this site in the mid-1960s. Before demolition of the old building in 2008, the sculptures were removed. They were reinstalled on the present building in 2010.",Arts,/Pages/Deeds_Speak.html
