address,artist,build_year,details,latitude,longitude,name,poi_type,poi_type_simple,source
227 Walmer Rd Toronto ON M5R 3P7,"HURLBUT, SPRING",1990,"Public Art.  
 Media: BRONZE
 LOCATION: OUTDOORS
 PARK NAME: WALMER RD PARKETTE
 NEAR STREET: WALMER RD
 NEAR CROSS-STREET: DAVENPORT RD",43.676307461,-79.408671893,TREE COLUMN,"Public Art, BRONZE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
169 Adelaide St E Toronto ON  ,"BOYER, GILBERT",2001,"Public Art.  
 Media: MASONRY, STEEL
 LOCATION: OUTDOORS
 PARK NAME: ST. JAMES PARK
 NEAR STREET: ADELAIDE ST E
 NEAR CROSS-STREET: JARVIS ST",43.651247007,-79.373312842,I LOOKED FOR SARAH EVERYWHERE,"Public Art, MASONRY, STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
40 Bedford Rd Toronto ON  ,"SANDLER, ILAN",2011,"Public Art.  
 Media: STAINLESS STEEL ROD, WATER
 LOCATION: OUTDOORS
 PARK NAME: TADDLE CREEK PARK
 NEAR STREET: LOWTHER AVE
 NEAR CROSS-STREET: BEDFORD RD",43.669851293,-79.398439891,VESSEL (THE),"Public Art, STAINLESS STEEL ROD, WATER",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
425 Don Mills Rd Toronto ON  ,"HARDING, NOEL",1995,"Public Art.  
 Media: MIXED MATERIALS
 LOCATION: OUTDOORS
 PARK NAME: TAYLOR CREEK PARK
 NEAR STREET: DON MILLS RD
 NEAR CROSS-STREET: DON VALLEY PARKWAY",43.702718186,-79.334457343,ELEVATED WETLANDS,"Public Art, MIXED MATERIALS",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
10 Court St Toronto ON  ,"SCHELLE, SUSAN",1994,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 PARK NAME: COURTHOUSE SQUARE
 NEAR STREET: COURT ST
 NEAR CROSS-STREET: TORONTO ST",43.650486654,-79.375471877,COURT HOUSE SQUARE,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
360 University Ave Toronto ON M5G 1S4,"ALLWARD, WALTER SEYMOUR",1910,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: UNIVERSITY AVE
 NEAR CROSS-STREET: QUEEN ST W",43.6528605187,-79.3879079887,SOUTH AFRICAN WAR MEMORIAL,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
250 University Ave Toronto ON M5H 3E5,"HAHN, EMANUEL",1933,"Public Art.  
 Media: BRONZE, MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: UNIVERSITY AVE
 NEAR CROSS-STREET: QUEEN ST W",43.650422051,-79.3870218498,SIR ADAM BECK,"Public Art, BRONZE, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
9 King's College Crcl Toronto ON M5S 3K3,"REID, ROBERT",1870,"Public Art.  
 Media: MASONRY
 LOCATION: OUTDOORS
 NEAR STREET: QUEENS PARK CRES W
 NEAR CROSS-STREET: WELLESLEY QUEENS PR S RAMP",43.6622183234,-79.3941165744,CANADIAN VOLUNTEERS WAR MEMORIAL,"Public Art, MASONRY",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
5089 Yonge St Toronto ON  ,"SPRACHMAN, ROBERT",1998,"Public Art.  
 Media: PAINTED STEEL
 LOCATION: OUTDOORS
 NEAR STREET: YONGE ST
 NEAR CROSS-STREET: HILLCREST AVE",43.7680961086,-79.4123101283,DANCE (THE),"Public Art, PAINTED STEEL",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
375 Colborne Lodge Dr Toronto ON M6S 0A4,"KOOCHIN, WILLIAM",1967,"Public Art.  
 Media: GRANITE
 LOCATION: OUTDOORS
 PARK NAME: HIGH PARK
 NEAR STREET: COLBORNE LODGE DR
 NEAR CROSS-STREET: SPRING RD",43.651248508,-79.463498027,HIPPY (THE),"Public Art, GRANITE",Art,https://www.toronto.ca/city-government/data-research-maps/open-data/
